阿鼻地獄　極端痛苦	"Avici Hell; 
Extreme sufferings."
填溝塞壑　無所不包	"Every Nook and Cranny; 
All-permeating."
天地禪心	The Chan Mind of Heaven and Earth
天地人和	Harmony between People and Nature
天地人心	The Mind Like Earth and Heaven
天地無私	Selflessness Like Heaven and Earth
天鵝湖舞曲風靡全球	Swan Lake: world-renowned ballet and music
天翻地覆　巨大變化	"Sky and Earth Overturned; 
Immense change."
天花亂墜　花雨繽紛	"Over-Exaggeration; 
An extravagant adornment."
天寬水清	Open Sky and Clear Water
天龍八部　護法神祇	"The Eight Guardian Generals; 
Heavenly Dharma protectors."
天魔外道　邪門迷信	"Heretical Teachings and Unwholesome Ways; 
Erroneous and superstitious belief."
天女散花　美妙風姿	"Celestial Rain of Flowers; 
Wondrous grace."
天人合一	Unity of Heaven and Humanity
天聖廣燈錄	Extensive Lamp Record from the Tiansheng Era
天心雨華	The Mind of Heaven Showers Flowers
天心月明	The Mind is as Bright as the Moon
天心月圓	The Heart of Heaven Is As Round As the Full Moon
天旋地轉　頭昏眼花	"The Sky Spins, The Earth Turns; 
Vertigo inducing."
天涯歌女周璇寫照	The Wandering Songstress: Zhou Xuan’s story
天衣無縫　渾然天成	"Seamless Celestial Garment; 
The highest quality, as if heaven made."
鐵樹開花　罕見希有	"When the Iron Tree Blooms; 
An extremely rare occurrence."
聽海潮音美妙樂章	Listen to the Sea: heart-moving sounds of waves
童年夢想牛哥漫畫	Childhood: dreaming of Brother Ox’s cartoons
同床異夢　各懷心思	"Different Dreams in the Same Bed; 
Each to their own thoughts."
同登彼岸　都能得度	"Together to the Other Shore; 
All can be liberated."
同體大悲　將心比心	"Impartial Compassion; 
To put oneself in others' shoes."
同體共生　人我無別	"Oneness and Coexistence; 
No differences between self and others."
同體含光	All Encompassing Light
同心同德	Same Mind, Same Virtue
通天徹地　無所不能	"Omnipotent; 
Nothing is impossible."
通幽洞微　洞若觀火	"Subtle and Profound Understanding; 
Crystal clear."
頭上安頭　重複多餘	"Reinventing the Wheel; 
Redundant and unnecessary."
頭頭是道　有條不紊	"Clear and Logical; 
Orderly and systematically."
頭重腳輕　根基不穩	"Top-Heavy; 
Unstable foundation."
偷心不死　死灰復燃	"The Discriminative Mind Dies Hard; 
Dying embers that flare up again."
徒費無益　枉用工夫	"Wild Goose Chase; 
Vain and futile work."
吐絲自縛　自作自受	"Caught in One's Own Web; 
To suffer the consequences of one's actions."
屠所牛羊　大限臨頭	"Cattle and Sheep at the Slaughterhouse; 
At death's door."
團結就是力量復興家邦	Unity Is Strength: revitalizing my homeland
退一步海闊天空  讓三分何等自在	"A Step In Retreat Makes One's World Bigger
A Little Willingness to Comprise Make One's Mind Carefree"
脫離苦海　不再沉淪	"Escape from the Sea of Suffering; 
No longer in Samsara."
脫胎換骨　前後不同	"Reborn into a Different Body; 
Constantly changing."
拖泥帶水　毫不俐落	"Wading in Mud and Water; 
A sloppy job."
瓦礫生光　成就非凡	"To Make Even Dust Shine; 
Extraordinary attainment."
外婆的澎湖灣童年幻想	Grandma’s Penghu Bay: childhood dream
晚安曲祝福望君安祥	Good Night Song: best wishes, peace and serenity
晚霞美景記在心房	Sunset Glow: beautiful scene engraved in the heart
萬不失一　絕對把握	"In the Bag; 
Assurance of success."
萬德莊嚴	Boundless Virtue and Solemnity
萬法歸心	All Dharmas Come From the Mind
萬法心生	The Mind Produces All Dharmas
萬福莊嚴	Boundless Fortune and Solemnity
萬古千秋　時代悠久	"For All Eternity; 
A very long time."
萬家生佛	Buddha Is In All Families
萬家生佛　德澤廣被	"Buddha is in All Families; 
A blessing to everyone."
萬劫不復　難以翻身	"With No Hope of Reprieve; 
Hard to rise again."
萬籟俱寂　天地默然	"All is Still; 
Tranquility of Heaven and Earth."
萬里白雲　與道相契	"White Clouds in the Infinite Sky; 
One with the Way."
萬里晴空	Vast Clear Sky
萬里雲開	Dispersion of Ten Thousand Miles of Clouds
萬事成全	Support Every Good Accomplishment
萬事吉祥	Auspiciousness for All
萬事寬心	Remain Broadminded for Everything
"萬事無如退歩休，
本來無證亦無修；
明窗高掛菩提月，
淨蓮深栽濁世中。"	"To the peace brought by compromise nothing compares,
Since nothing there is to cultivate or attain;
Hanging high outside the clear window is the moon,
Blooming from a turbid world, the pure lotuses."
萬水千山	Crossing Rivers and Mountains
"萬水千山訪知音，
誰知步步未沾塵；
腳跟下事能回顧，
翻身不墮妄和真。"	"Over mountains, across rivers, I search for the knower of my heart,
Unaware that no dust ever tainted any of my steps;
One can reminisce every occasion in the footsteps,
Upon the turn of the body, never fall into false and true discrimination."
萬水千山總是情聽天由命	Love and Passion: in the hands of fate
萬緣自發	All Affinities Arise from One's Initiative
頑石點頭　物我一如	"Even Stones Would Assent; 
Subject and object are one."
忘不了唱者痴情所迷	Unforgettable: enchanted by passionate love
忘機	Forget All Motives
忘了我是誰友誼哀愁	Forget Who I Am: sorrows of lost friendship
枉費心力　白費工夫	"In Vain; 
Wasted effort."
往好處想	Understand One's Mind and See One's Intrinsic Nature
往好處想	Think Positively
往好處想　正面思考	"Look on the Bright Side; 
Think positively."
往事只能回味時光不再	Past Is Only for Reminiscence: today is no more
汪洋中的一條船開向希望	He Never Gives Up: towards hope
王昭君和番愛國女性	Wang Zhaojun: diplomatic marriage—a patriotic woman
未來不是夢夢想成真	My Future Is Not a Dream: dreams do come true
未了公案　尚待完成	"A Pending Gongan; 
Yet to be finished."
未足為道　不足一談	"Not Worth a Mention; 
Nothing much to talk about."
為善常樂	Doing Good Brings Constant Happiness
為善最好	Doing Good Is the Best
味同嚼蠟　毫無意義	"Tastes Like Chewing Wax; 
Completely lacking in flavor and meaning."
唯法所依	Rely On Nothing Other Than the Dharma
唯我獨尊　無人能比	"I Alone am the Honored One; 
Beyond comparison."
惟賢惟德	Only Capable and Virtuous
溫故知新	Review the Old to Learn the New
文字般若　經文聖典	"Words as Prajna; 
Sacred texts."
文字因緣　表情達意	"Words as Causes and Conditions; 
Conveying thoughts and meaning."
甕中捉鱉　垂手可得	"Catch a Turtle in a Jar; 
Easily obtained."
我的心不再流浪走進佛堂	My Heart Will Not Stray: enter the shrine
我國江河戀山川為伴	River Love: mountains and rivers as companions
我和我追逐的夢已經天亮	Chasing My Dream: already daybreak
我家在那裏常寂光裏	My Home Is There: in the light of eternal peace
我是佛	I am Buddha
我是浮雲一片輕歌慢唱	I’m a Floating Cloud: soft murmurs
我是一片雲自在飄揚	Cloud of Romance: freely in the wind
我是一隻小小鳥無依無靠	I’m a Little Bird: helpless and alone
我是中國人家國情懷	I Am a Chinese: patriotism
我心合十	Joining Palms With My Heart
我要為您歌唱內心感傷	I Want to Sing for You: sorrowful heart
我一見您就笑忘憂無惱	I Smile When I See You: forgetting all sorrows
我願給您人間情義	I Vow: sentiment and righteousness in the world
我在您左右不必憂傷	I’m by Your Side: no need to be sad
我在眾中	I Am Among the Multitude
我在眾中　眾中有我	"I am Among the Multitude; 
I am part of the community."
我怎能離開您藏在心裏	How Can I Leave You: deep in my heart
我只在乎您心甘情願	I Only Care About You: perfectly willing
"吾本來唐國，傳教救迷情。
一花開五葉，結果自然成。"	"Originally, I had come to the Tang Kingdom to deliver the lost;
All in the course of nature, one flower blooms into five petals."
無邊	Boundless
"無常
法性本無常，亦不墮諸數。
譬彼空中雲，當體即常住。
聖凡皆過客，去來無二路。
是生不是生，非新亦非故。
智眼明見人，此外何所慕。"	"Impermanence
Impermanence is fundamental Dharma nature, 
Unyielding to any sort of expectation.
Similar to that cloud in the sky,
Its substance is eternal.
Both the sage and ordinary are passersby, 
Coming and going never were two ways. 
What is born was never born, 
Nor has new ever been old. 
The eyes of wisdom clearly can see, 
Other than this yearning for nothing.【"
無常迅速　世事變化	"Impermanence Strikes Fast; 
Things are constantly changing."
"武昌逢石浪岷嶽二禪人還蜀省親因示
1) 我本行腳僧，忽逢行腳客。
2) 借問行腳事，相視無言說。
3) 匡廬一片雲，峨嵋千尺雪。
4) 箇是行腳心，去來水中月。
5) 因思母子情，念念不相隔。
6) 今歸承歡顏，恰似未曾別。
7) 奉旨不奉甘，問冷不問熱。
8) 劈破娘生面，乃見不生滅。
9) 方是行腳人，到家之時節。"	"For Chan Practitioners Shilang and Minyu Crossing Paths with Me in Wuchang on Their Way Home to Sichuan
As a wandering monk, 
I suddenly meet a traveler. 
Asking about the journeys by foot, 
We look at each other, speechless. 
A piece of cloud floating on Mount Lu, 
A thousand feet of snow on Mount Emei. 
The mind of one who wanders,
Coming and going like the moon in the water. 
Thinking of the bond between mother and son, 
In every thought we were never apart. 
Upon my return to please her heart, 
It seemed never had I been away. 
Offering food, but not of delicacy. 
Concerned about the cold, but not the heat. 
Let the intrinsic nature be revealed, 
Then see the non-arising and non-ceasing truth. 
For a wandering mind, 
To reach home now is it time."
悟道人生懺悔往昔	Realization: path and life, repent for past and present
悟道詩	On Enlightenment
"悟道詩
但要無心於萬物，
何妨萬物假圍繞。
鐵牛不怕獅子吼，
悟似木人看花鳥。
木人本體自無情，
花鳥逢人亦不驚。
心境如如只遮是，
何慮菩提道不成。"	"Verse on Enlightenment
If the phenomenal world never has crossed one’s mind, 
What does it matter if one is constantly 
     surrounded by its objects? 
An iron ox fears not a roaring lion;
    it is alike flowers and birds in the eyes of a wooden man. 
Intrinsically, the wooden man has an insentient nature, 
    while flowers and birds are never frightened by humans. 
Similarly, the mind is in such a state; 
    why worry about failure to attain enlightenment?"
"悟道詩
切忌從他見，條條與我疏；
我今獨自往，處處得逢渠；
渠今正是我，我今不是渠；
應須這麼會，方可契如如。"	"On Enlightenment
Do not seek outside,
Such is farther and farther from oneself.
Now I travel alone,
And everywhere I see waterways,
Now, the waterway is me,
Though I am not the waterway.
You should understand this,
And be in accordance with suchness."
"悟道詩
一擊忘所知，更不假修持；
從容揚古道，不墮悄然機；
處處無蹤跡，聲色外威儀；
諸方達道者，咸言上上機。"	"Verse on Enlightenment
One strike and I forgot all I knew,
No more will I rely on cultivation.
I have touched the Buddha’s teaching 
And will not fall into skillful explanations.
Nowhere is there found a trace,
Outside one’s speech and comportment.
Those who have attained the Way from every direction 
Each say they have the highest explanation."
悟佛知見	Realize the Knowledge and Views of the Buddha
悟後起修　知而後行	"Cultivation After Enlightenment; 
Practice after knowing."
悟無生忍	Awaken to Non-arising Tolerance
悟心覺道	Enlightened Mind and Awakening Path
兀兀騰騰　自然圓成	"Hover and Soar; 
To achieve things instinctively."
霧的世界迷朦無奈	Fog: in a foggy world, misty and helpless
五燈會元	Compendium of Five Lamps
五峰集	Collected Writings of Hu Hong
五湖四海　所有空間	"All Over the World; 
Boundless space."
五體投地　跪拜頂禮	"Sincere Five-Pointed Prostration; 
To prostrate with one's knees and head on the ground."
五停心觀　對治五蓋	"Five Contemplations of Calming the Mind; 
To forestall the Five Hindrances."
五月的風流放清涼	The Breeze in May: cool and soothing
五蘊皆空　無我境界	"Emptiness of the Five Aggregates; 
State of selflessness."
五指為大	The Greatness of Five Fingers
無惡不作　因果難逃	"Do No Evil; 
The law of cause and effect is inescapable."
無分別心	A Mind Free of Discrimination
無風起浪　平白生事	"A Wave without Wind; 
Without rhyme or reason."
無過為美	The Beauty of Faultlessness
無盡藏	Boundless Treasure
無盡燈	Endless Light
無孔鐵錘　使不上力	"A Hammer without a Handle; 
Useless."
無量壽	An Infinite Life
無門	Gateless
無門關	The Gateless Gate
無門之門	The Gateless Gate
無明火起　心生苦惱	"Igniting the Fire of Ignorance; 
Defilements arising in the mind."
無明烈火　煩惱不堪	"Fiery Ignorance; 
Unbearable vexations."
無惱	Without Defilement
無念	No Thought
無窮無盡　沒有終極	"Boundless; 
Without limitations."
無求	No Desires
無求增福	Greater Fortune Comes With No Desire
無染	Untainted
無上菩提	Supreme Bodhi
無上正等正覺	Anuttara-samyak-sambodhi
無生法忍	Tolerance of Non-Arising Dharmas
無事為貴	Peace is Priceless
無私	Selflessness
無妄	Without Delusions
無畏	Fearlessness
無我	No Self
無相布施　物我兩忘	"Formless Giving; 
Forgetting both object and self."
無心	No Mind
無心出岫	Only a Cloud Over the Peak
無心之心	A Mind of No-Mind
無有對待	There are No Special Treatments
無與倫比　難以為匹	"Incomparable; 
Difficult to match."
無欲則剛	The Strong Has No Desires
無怨	No Resentment
無緣大慈　不計親疏	"Unconditional Compassion; 
Foe and kin alike."
無緣無故　沒頭沒尾	"Without Cause, Without Reason; 
No beginning, no end."
無怨無悔	No Regret or Resentment
無緣一面　沒有再見	"No Chance of Meeting Again; 
No reunion."
無遮大會　普同供養	"Great Equal Assembly; 
Universal offering."
無諍	No Disputes
無住	Non-Abiding
無著	Unattached
無住而住	Abiding in Non-Abidance
無住生心	Non-Abiding Mind
西北雨流行台灣氣象	Summer Rain: trend of Taiwanese weather
西方淨土　極樂世界	"Western Pure Land; 
The Land of Ultimate Bliss."
西方淨土極樂世界	Western Pure Land: World of Ultimate Bliss
西螺七崁歌台灣地名	Se Le Cid Kiam: a town in Taiwan
細嚼慢嚥　仔細體會	"Chew Slowly; 
Savor the experience."
細水長流　泉源不斷	"Little by Little, Without Let-Up; 
Endless stream of water."
喜樂天地	Joy in Heaven and Earth
喜慶人間	Joyous Celebration of Humanity
喜慶人生	Joyous Celebration of Life
喜心平等	A Heart of Joy and Equality
喜在心頭	A Delightful Heart
希望在前	Hope Is Ahead
希望之美	The Beauty of Hope
洗心滌慮　立志重來	"To Wipe the Slate Clean; 
To start anew."
惜緣	Cherish Affinities
蝦兵蟹將　無名士卒	"Shrimp Soldiers and Crab Generals; 
Nameless troops."
狹路相逢　冤家路窄	"Meeting on a Narrow Path; 
An inevitable clash between foes."
仙露明珠　晶瑩美觀	"Divine Nectar and Shining Pearl; 
Sparkling beautiful."
掀起您的蓋頭來看到本相	Lift Your Veil: seeing her actual face
現身說法　自我作證	"Speaking From Experience; 
To speak of one's self-realizations."
現世現報　因果不爽	"Present Karmic Retributions; 
Causes and effects at work."
現證法樂　了悟真理	"Joy of the Dharma Realized; 
Enlightenment to the Truth."
想當然耳	Everything As It Should Be
想開了	I Get It Now
想入非非　不能實現	"Flight of Fancy; 
Cannot be actualized."
相好圓滿	A Perfect Appearance
相好莊嚴　三十二相	"Auspicious Appearance; 
The thirty-two characteristics of a buddha."
祥和歡喜	Harmony and Joy
香花供養　誠心誠意	"Offering of Incense and Flowers; 
Earnestly and sincerely."
香火不絕　供養盛況	"Unending Stream of Pilgrims; 
A grand occasion for offerings."
香火因緣　道情法愛	"Affinity Like Incense and Fire; 
Friendship for the path, love for the truth."
香水海	The Perfume Ocean
香象截流　悟道精深	"The Fragrant Elephant that Severs the Stream; 
Profound understanding of the Way."
香嚴上樹　言語道斷	"Master Xiangyan on ""Climbing a Tree""; 
Severing the way of language and words."
鄉間小路牛羊相伴	Country Road: goats and cows are my company
向前有路 光明在望	Keep Going, the Future is Bright
象牙之塔　不夠宏觀	"In an Ivory Tower; 
Lacking a broad perspective."
享有就好　擁有一切	"It is Enough to Enjoy and Appreciate; 
To have everything."
相知知心	Understand and Know Each Other's Heart
小白菜冤案冤沉海底	Little Cabbage: injustice buried in deep sea
小草成長風雨助緣	Little Grass: growing in wind and rain
小城故事溫馨感人	Story of a Small Town: heart-warming
小丑人生您樂我苦	Clown: taking on suffering for your happiness
笑面夜叉　臉善心惡	"A Smiling Yaksa; 
A malevolent heart veiled behind a friendly face."
笑擁江山夢人生匆匆	A King in My Dreams: life is transient
瀟灑走一回內心有愧	No Regrets: a regretful heart
逍遙自在　無拘無束	"Carefree and Easygoing; 
To be unrestrained and lighthearted."
消災延壽　長命富貴	"Eradicate Calamities and Prolong Life; 
Longevity and wealth."
脅不沾席　晝夜不息	"The Torso Never Touching the Bed; 
Never resting, day or night."
邪魔外道　異端邪說	"Demons and Heretics; 
Unorthodox and harmful teachings."
心安理得	A Clear Conscience and Peaceful Mind
心安性定	A Peaceful Mind and Unfaltering Nature
心包三千	The Mind Encompasses the Three Thousand Realms
心包太虛　量大福大	"The Mind Embraces the Vast Space; 
Great magnanimity and great merits."
心病難醫　非藥能治	"Anxieties Are Hard to Cure; 
Incurable by medicine."
心慈	A Compassionate Mind
心慈性巧	A Kind Heart and Agile Nature
心大口小	Broad Mind, Small Mouth
心到佛知　不必多說	"Buddha Knows Your Heart; 
Say no more."
心燈亮了	Light of the Mind is Illuminating
心燈已亮	The Lamp of the Mind Has Lit Up
心地開明	An Open Mind
心地開通	An Open Mind
心地秋收	An Autumn Harvest of the Mind's Field
心地生光	Brightness Arises from the Mind
心甘情願　發自肺腑	"Perfectly Willing; 
From the bottom of one's heart."
心海慈航	Compassionate Boat Sailing in the Ocean of the Mind
心好	A Good Heart
心花怒放　歡天喜地	"Bursting with Joy; 
In high spirits."
心華無住	The Non-Abiding Mind-Flower
心懷道本	Be Mindful of the Basis of the Path
心淨法喜	A Pure Mind With Dharma Joy
心淨國土淨	When the Mind is Pure, the Land is Pure
心淨滿月	Pure Mind, Full Moon
心淨土淨	The Land is Pure as the Mind is Pure
心境一如	Unity Between the Mind and the World
心開	Open Mind
心開意解	All Queries Resolved and Knots Disentangled
心口生香	Fragrant Speech and Thoughts
心寬有量	A Broad Mind Is One of Strength
心靈寶藏	Spiritual Treasure
心領神會　不須言說	"Tacit Understanding; 
No need for words."
心靈世界	The Spiritual World
心明養事	A Clear Mind Nurtures Success
心明養志	A Clear Mind Nurtures Aspirations
心能轉境	The Mind Can Change the Circumstance
心平世界	The World of a Magnanimous Mind
心容天地	Embrace Heaven and Earth With the Mind
心如大海	A Mind as Great as the Ocean
"心如大海無邊際，
廣植淨蓮養身心；
自有一双無事手，
為做世間慈悲人。"	"The mind is as boundless as the ocean;
Abundantly plant pure lotuses to cultivate the body and mind.
Naturally a pair of hands free from worldly matters,
Will serve as a person of compassion for the world."
心如海洋	A Mind Like an Ocean
心如淨蓮	A Mind Pure Like the Lotus
心如滿月	The Mind Is Complete Like the Full Moon
心如明鏡	The Mind Clear as a Mirror
心如木石　不受誘惑	"A Heart of Wood and Stone; 
Not lured by temptation."
心如秋月	The Mind is Like the Autumn Moon
心生好念	Let Good Thoughts Arise From the Mind
心生歡喜	Joy Arises From the Heart
心生萬法	The Mind Gives Rise to All Phenomena
心生萬法　總在心源	"The Mind Gives Rise to All Phenomena; 
All things originate from the mind."
心隨境轉　易受誘惑	"The Mind Changes with the Circumstances; 
Easily tempted and swayed."
心頭活水	A Free-Flowing Mind
心外無法	There is No Dharma Beyond the Mind
心無得失	A Mind Free From Gains and Losses
心無罣礙	Untroubled Mind
心無掛礙	An Untroubled Mind
心無罣礙　自由自在	"An Untroubled Mind; 
Liberated and carefree."
心無所求	A Mind Free of Desires
心想事成	May All Wishes Come True
心香養性	Cultivate Your Nature with a Fragrant Mind
心心念念　殷切盼望	"Each and Every Thought; 
Ardent yearning."
心心相印	Heart-to-Heart Connection
心心相印　人我無間	"Heart-to-Heart Connection; 
No distance between self and others."
心行處滅　動念即乖	"Ceasing All Mental Activities; 
Any thought arising is not in accord."
心行相應	Corresponding Mind and Actions
心眼開悟	An Enlightened Mind
心眼有悟	An Enlightened Mind
心有法界	The Mind Embodies the Dharma Realm
心有聖賢	Have Sages in the Mind
心有五戒	Observe the Five Precepts
"心遠身閑眼界清，
瀟然回首萬緣輕；
更將滿耳是非語，
換作松風溪水聲。"	"With a faraway heart, leisurely body, and open eyes
Nonchalantly I turn around, dwindling all affinities,
I shall even replace a earful of disputes
With the whispers and murmurs of piney winds and creeks."
心猿意馬　思緒散亂	"The Mind is Like a Wild Monkey and Galloping Horse; 
Unrestrained thoughts."
心月千江	The Mind Reflects the Moon in a Thousand Rivers
心正人正	An Upright Mind Means an Upright Character
心植淨蓮	A Pure Lotus Grows from the Mind
心中道根	The Dharma is Rooted in the Mind
心中法界	The Dharma Realm Within the Mind
心中活水	A Free-Flowing Mind
"心中寬廣山川小，
眼內澄清日月明；
耳邊天籟人間寂，
腳下飛沙不染塵。"	"Small Mountains and Rivers in a Broad Mind
A broad mind perceives small mountains and rivers, 
Clear eyes reflect a bright sun and moon,
Harmonious ears hear a quiet world,
Swift feet travel free of dust."
信義和平	Righteousness and Peace
信解行證	Belief, Understanding, Practice, and Realization
信解行證　學佛次第	"Faith, Understanding, Practice, and Realization; 
Stages in learning the Dharma."
信口胡說　不負責任	"Talking Through One's Hat; 
Irresponsible."
信受奉行　依法實踐	"Faithfully Receive the Dharma; 
Actualize according to the Dharma."
信手拈來　俯拾皆是	"To Have in One's Hands Effortlessly; 
Readily available."
信心門裏面無限寶藏	Gate of Faith: with boundless treasure
"信心銘
至道無難，唯嫌揀擇，
但莫憎愛，洞然明白。"	"Faith in Mind
To reach the Way is not difficult, 
One needs only have no preferences, 
Just do not hate or love, 
And you will fully understand."
薪盡火滅　所作完成	"Wood Burnt, Fire Extinguished; 
All things accomplished."
欣生惡死　膽小怕事	"Fear of Death; 
Timid and weak."
欣欣向榮	Thriving with Prosperity
行慈悲心	Realize a Compassionate Mind
行佛	Practice the Buddha's Way
行腳托鉢　次第有序	"To Go on Alms-round; 
In the proper order."
行三好 救台灣	Practice the Three Acts of Goodness to Save Taiwan
幸福	Happiness
性光日照	The Light of Nature Shines Like the Sun
性空緣起	The Nature of Emptiness and Dependent Origination
星光耀眼美麗天空	Stars: dazzling in the beautiful sky
星星知我心萬家團圓	Star Knows My Heart: family reunions
星雲大師誕辰紀念日暨供僧法會	Fo Guang Shan Founding Master—Venerable Master Hsing Yun’s Birthday & Sangha Day Offering
星雲大師數位人文研究發展中心	Venerable Master Hsing Yun Digital Humanities Research and Development Center
"醒世詩
世事紛紛如閃電，
輪迴滾滾似雲飛；
今日不知明日事，
那有工夫論是非。"	"Awakening the World
Worldly matters come and go like lightning.
The wheel of rebirth rolls forward like drifting clouds.
We cannot predict today what will happen tomorrow,
Where can we find the times to gossip and criticize?"
形影不離　關係密切	"Inseparable as Form and Shadow; 
A close relationship."
形影相追　無處不在	"Following Like a Shadow; 
To be everywhere."
行雲流水	Be like Floating Clouds and Flowing Water
行正心安	Righteous Actions Will Bring Peace to the Mind
行住坐臥　四種威儀	"Walking, Standing, Sitting, and Lying Down; 
The Four Comportments."
胸懷法界	Embrace the Dharma Realm in the Mind
胸無點墨　沒有文化	"Unlettered; 
Uncultured."
修成正果　道行圓滿	"Attain the Righteous Fruit; 
Perfection of one's practice."
修剪荒蕪	Tending Life's Garden
修身養性	Cultivate the Body and Nourish One's Nature
修心養量	Cultivate the Mind and Foster Magnanimity
修心養性	Cultivate the Mind and Nurture One's Nature
秀外慧中	External Beauty and Inner Intelligence
續佛慧命　傳承正法	"To Continue the Wisdom of the Buddha; 
To inherit and perpetuate righteous Dharma."
續古尊宿語要	Supplementary Recorded Sayings of the Ancient Worthies
虛空釘橛　無從下手	"Nailing a Peg in Thin Air; 
Not knowing where to begin."
虛生浪死　空度時光	"Living and Dying in Vain; 
A waste of time."
懸駝就石　沒有效率	"Put the Cart Before the Horse; 
Inefficient."
懸崖撒手　放下一切	"Throw off the Cliff; 
Let go of everything."
學廣言低	Learn Broadly and Speak Modestly
學習活用	Skillfully Apply Your Knowledge
學養	Knowledge and Virtue
學有則明	Learning Helps One Improve
學愚	Learn to Conceal Your Wisdom
雪上加霜　禍不單行	"When it Rains, It Pours; 
Misfortunes never come singly."
雪中送炭　濟人所需	"Sending Coal in Snowy Weather; 
Giving timely assistance."
循環往復　來回不斷	"Cycling Back and Forth; 
Coming and going repeatedly."
尋常茶飯　來處不易	"Everyday Tea and Rice; 
Does not come without effort."
尋行數墨　字斟句酌	"Reading Line by Line, Word for Word; 
Pondering over every word."
"尋隱者不遇
松下問童子，言師採藥去。
只在此山中，雲深不知處。"	"Seeking the Unfound Hermit
Beneath the pine tree, I inquired of the boy,
“Master has gone to find herbs,” said he;
A place inside this mountain for sure,
Somewhere deep in the clouds, perhaps."
壓良為賤　點金成鐵	"Forcing Good to Turn Bad; 
Transforming gold into iron."
鴉雀無聲　非常寂靜	"Crows and Sparrows Fall Silent; 
Utterly quiet."
鴨聽雷鳴　未能領悟	"A Duck Listening to Thunder; 
Inability to understand."
亞細亞的孤兒給人嘆息	The Orphans of Asia: sad stories
啞子得夢　無從傾訴	"A Mute Dreams; 
No one to tell."
掩鼻偷香　自欺欺人	"Pinching One's Nose to Steal Incense; 
Deceiving self and others."
掩耳盜鈴　自欺欺人	"Covering One's Ears to Steal a Bell; 
Deceiving self and others."
雁兒在林梢雲霧飄渺	Wild Goose in the Forest: misty woods
雁過長空　不著痕跡	"Like Geese Crossing the Sky; 
To leave no trace."
雁塔題名　金榜及第	"Top of the Leaderboard; 
With high marks."
雁行魚貫　依序前進	"Geese Fly in Formation; 
To go forward in sequence."
眼光落地　長眠不起	"Eyes Closed Forever; 
Rest in peace."
眼橫鼻直　當然如此	"Eyes are Eyes, and Nose is Nose; 
Just the way things are."
眼空四海　藐視一切	"Blinded by Arrogance; 
To look down upon everything."
眼內有塵三界小  心頭無事一床寬	"Eyes With Dust See the Three Realms As Small
A Mind Without Trouble Sleeps on a Broad Bed"
眼中著屑　遮蔽真相	"Dust in One's Eyes; 
Obstructed from the Truth."
煙花三月揚州美景	Misty Flowers in March: beautiful Yangzhou
煙味難聞趕快戒掉	Smoke: foul odor, quit it soon
沿門托鉢　廣設福田	"Alms Procession Door-to-Door; 
Broad opportunities for good deeds."
"岩上桃花開，花從何處來；
靈雲才一見，回首舞三台。"	"Peach blossoms on clifftop,
From where did the flowers come?
Lingyun, only at first glance,
Recalls his command of Santai."
嚴土熟生　成就眾生	"Pure Land with Accomplished Beings; 
Benefiting sentient beings."
言行一致	Speak and Act With Consistency
言音深遠	Far-reaching Words and Sound
言語道斷　超出語言	"Severing the Way of Language and Discourse; 
Beyond words."
羊腸鳥道　曲折山路	"A Narrow, Winding Path; 
Twists and turns of a mountain trail."
揚眉瞬目　舉眉轉眼	"Raise of an Eyebrow, Wink of an Eye; 
Hidden meaning."
養德	Nurture Morality
養心	Nourish the Mind
養心人	Nourisher of the Mind
陽光語言	Sunshine Language
陽焰翻波　不切實際	"Illusory Waves Rolling; 
Unreal."
陽焰空花　子虛烏有	"Illusory Flowers in the Sky; 
Non-existent."
"仰止唯佛陀，完成在人格，
人成即佛成，是名真現實。"	"Who we shall look up to is 
    none other than the Buddha, 
The goal that we shall pursue is 
    none other than the perfection of our character;
Upon perfection of our human character
    buddhahood is thereby attained,
Thus it is known as the true reality."
搖唇鼓舌　搬弄是非	"Wagging Tongues, Loose Lips; 
Stir up enmity."
搖籃曲童謠兒歌世界	A Lullaby: well-known nursery rhyme
搖頭擺腦　自我陶醉	"Bobbing to One's Own Tune; 
Self-infatuated."
搖頭擺尾　自鳴得意	"Strutting with Head Held High; 
Thinking highly of oneself."
咬定牙關　堅持到底	"Gritting One's Teeth; 
To persevere to the end."
藥石之言　苦口勸告	"Good Advice is Bitter Medicine; 
To give unpleasant but needed advice."
杳無消息　失去音訊	"No News Whatsoever; 
To lose contact."
杳無踪跡　不知去向	"Without a Trace; 
Nowhere to be found."
要走正路	Follow the Path of Righteousness
野薑花的回憶往事如烟	Memories of the Ginger Lily: the past is gone
夜來香芬芳夜色茫茫	Fragrance of the Night: permeating through the night
夜上海生活紙醉金迷	Shanghai Nights: extravagance
葉落歸根　當然如是	"Falling Leaves Return to Their Roots; 
As nature is."
葉落知秋　觀察敏銳	"A Falling Leaf Tells the Arrival of Autumn; 
Keen observation."
業障現前　面對因果	"Manifestation of Karmic Hindrances; 
To confront cause and effect."
一般見識不用計較	One derogatory mind: no need to bother with it.
一瓣心香　虔誠祝願	"A Fragrant Heart; 
Sincere wish."
一瓣心香真誠供養	One fragrant heart: sincere offering.
一棒打殺　正中要害	"Hit with One Blow; 
Hit the nail on the head.
"
一杯咖啡激發靈感	One cup of coffee: your source of inspiration.
